# {"t_start": 1574979765.983704} 
r,l,t
220.23247,201,13.245588
179.56892,201,13.245672
238.50578,201,13.245708
213.9971,201,13.245744
230.92207,201,13.245769
222.27136,201,13.245792
218.41666,201,13.245814
220.99734,201,13.24584
178.36331,201,13.245864
177.86502,201,13.245885
178.11383,201,13.245907
226.13882,201,13.245928
234.98297,201,13.741483
202.54732,201,13.741563
174.53214,201,13.741593
243.09753,201,13.741617
177.81339,201,13.74164
178.9146,201,13.741662
218.43556,201,13.741684
224.53902,201,13.741705
175.80013,201,13.741726
221.52672,201,13.741748
175.45776,201,13.741769
174.21361,201,13.74179
205.69911,201,14.271883
180.19196,201,14.271965
221.44765,201,14.271999
207.44157,201,14.272025
178.60521,201,14.272048
225.62128,201,14.272071
209.78682,201,14.272094
205.93207,201,14.272116
234.12051,201,14.272138
218.76378,201,14.27216
176.24617,201,14.272182
173.5351,201,14.272204
223.23717,201,14.766238
230.04236,201,14.76632
177.4218,201,14.766351
223.58301,201,14.766375
237.66783,201,14.766398
221.76343,201,14.766421
214.94672,201,14.766443
224.52583,201,14.766465
211.95361,201,14.766487
222.28154,201,14.766509
221.48389,201,14.76653
178.52884,201,14.766552
178.5458,201,15.264793
237.39052,201,15.264875
224.34117,201,15.264908
178.64972,201,15.264934
224.617,201,15.264957
219.50565,201,15.264979
238.05612,201,15.265002
218.9276,201,15.265024
236.08034,201,15.265046
212.54814,201,15.265068
214.05847,201,15.265089
232.24818,201,15.26511
235.97122,201,15.761867
216.26028,201,15.76195
221.13016,201,15.761982
214.52446,201,15.762007
174.62474,201,15.76203
215.68385,201,15.762052
222.42523,201,15.762074
206.26747,201,15.762096
223.20583,201,15.762117
221.03535,201,15.762139
223.7798,201,15.762161
238.30537,201,15.762182
176.07288,201,16.2589
183.00844,201,16.258983
175.3893,201,16.259039
222.05608,201,16.259069
207.69214,201,16.259093
215.97617,201,16.259116
178.44215,201,16.259139
215.7815,201,16.259162
216.57967,201,16.259184
231.75784,201,16.259205
214.40512,201,16.259227
215.84041,201,16.259249
175.78743,201,16.752925
218.12103,201,16.753008
177.46745,201,16.753038
179.2326,201,16.753063
219.01735,201,16.753086
215.25441,201,16.753107
181.0489,201,16.753129
200.97913,201,16.753151
221.2257,201,16.753172
221.26639,201,16.753193
222.98402,201,16.753214
201.13402,201,16.753236
208.09088,201,17.249958
231.28928,201,17.25004
177.46089,201,17.250074
230.31107,201,17.2501
223.41673,201,17.250123
233.36488,201,17.250146
232.27484,201,17.250168
175.14514,201,17.250197
219.45442,201,17.250221
204.17819,201,17.250243
210.33911,201,17.250264
210.4515,201,17.250289
222.3444,201,17.745706
225.77354,201,17.745791
210.27159,201,17.745826
214.78928,201,17.745852
180.09222,201,17.745875
207.81439,201,17.745898
221.23376,201,17.745919
221.1668,201,17.745941
177.84464,201,17.745963
223.2106,201,17.745985
209.52536,201,17.746006
217.2594,201,17.746028
177.94264,201,18.236617
175.74007,201,18.236699
175.64983,201,18.23673
231.3258,201,18.236755
176.85934,201,18.236777
175.68896,201,18.236799
180.89896,201,18.236821
180.6365,201,18.23685
178.06667,201,18.236874
217.64497,201,18.236896
225.42545,201,18.236917
216.44443,201,18.236938
206.0395,201,18.733132
209.78009,201,18.733214
222.08078,201,18.733244
220.55286,201,18.733268
235.54613,201,18.733292
176.24345,201,18.733314
221.45784,201,18.733336
214.4839,201,18.733358
175.42326,201,18.73338
214.12569,201,18.733402
230.71779,201,18.733424
210.52014,201,18.733445
217.03369,201,19.233228
208.11238,201,19.233312
201.34297,201,19.233345
231.06546,201,19.23337
212.31583,201,19.233393
236.54393,201,19.233416
215.84499,201,19.233438
178.64178,201,19.23346
212.77988,201,19.233482
214.52104,201,19.233503
220.2289,201,19.233524
215.44818,201,19.233546
239.0111,201,19.735152
210.09477,201,19.735233
229.56549,201,19.735268
176.09872,201,19.735294
179.59087,201,19.735318
220.8642,201,19.73534
183.64717,201,19.735362
230.46535,201,19.735384
216.32394,201,19.735407
215.80896,201,19.735428
225.01398,201,19.73545
181.09392,201,19.735472
234.64285,201,20.230819
215.50206,201,20.230901
173.96158,201,20.230934
231.65103,201,20.23096
242.8691,201,20.230984
231.00691,201,20.231007
222.09863,201,20.231029
232.37871,201,20.231051
176.54597,201,20.231072
223.84952,201,20.231094
223.62221,201,20.231115
219.29631,201,20.231136
180.87648,201,20.721355
201.88527,201,20.721434
174.49309,201,20.721468
217.42986,201,20.721493
230.03029,201,20.721517
209.76555,201,20.72154
177.03383,201,20.721563
201.94582,201,20.721585
180.1048,201,20.721607
222.33946,201,20.721629
173.43839,201,20.721651
223.67958,201,20.721672
237.08397,201,21.218616
216.96948,201,21.2187
177.97661,201,21.218734
223.94266,201,21.21876
229.24042,201,21.218785
216.31052,201,21.218808
220.15594,201,21.218831
212.87068,201,21.218853
180.79436,201,21.218876
238.74341,201,21.218898
209.48865,201,21.21892
220.4194,201,21.218942
218.90889,201,21.710951
237.50333,201,21.711034
175.90936,201,21.711067
174.55858,201,21.711094
230.29709,201,21.711117
215.44849,201,21.71114
230.718,201,21.711163
212.58655,201,21.711185
230.7913,201,21.711207
222.93771,201,21.711228
201.48785,201,21.71125
213.29626,201,21.711271
217.81421,201,22.203645
175.63885,201,22.203728
213.7748,201,22.203762
177.89442,201,22.203787
242.22635,201,22.203811
220.72209,201,22.203834
214.34064,201,22.203856
221.17247,201,22.203888
176.09612,201,22.203911
234.74715,201,22.203933
177.13522,201,22.203954
210.57289,201,22.203976
224.62682,201,22.709316
213.29195,201,22.709399
202.39081,201,22.709433
177.2168,201,22.709459
174.06735,201,22.709483
219.21045,201,22.709506
207.50188,201,22.709528
227.00354,201,22.70955
175.05373,201,22.709572
215.79085,201,22.709593
227.95422,201,22.709615
227.54439,201,22.709636
200.76295,201,23.220343
221.3226,201,23.220424
174.25453,201,23.220457
221.25728,201,23.220483
216.45232,201,23.220506
175.71239,201,23.220529
221.8522,201,23.220551
176.9059,201,23.220581
177.7887,201,23.220606
179.27245,201,23.220627
216.78227,201,23.220649
200.04903,201,23.22067
211.08694,201,23.722633
208.27377,201,23.722715
227.58987,201,23.722748
218.73979,201,23.722774
222.15718,201,23.722798
239.17479,201,23.722821
209.9321,201,23.722843
176.07375,201,23.722866
222.23232,201,23.722887
176.87787,201,23.722909
217.67157,201,23.722931
178.81435,201,23.722952
238.7382,201,24.234116
201.23781,201,24.234184
218.54025,201,24.234215
178.74648,201,24.23424
181.29181,201,24.234263
211.54437,201,24.234285
224.46301,201,24.234307
219.32361,201,24.234337
175.43636,201,24.234359
183.71175,201,24.234381
228.12762,201,24.234403
218.8078,201,24.234424
173.74847,201,24.742738
226.91307,201,24.742813
221.50641,201,24.742843
223.2876,201,24.742867
209.6657,201,24.74289
215.34785,201,24.742913
211.91258,201,24.742935
213.90254,201,24.742957
218.60725,201,24.742978
227.70175,201,24.742999
176.48093,201,24.74302
211.17682,201,24.743042
225.03912,201,25.241307
215.19762,201,25.241388
176.51309,201,25.241418
217.0261,201,25.241442
210.4175,201,25.241465
213.23308,201,25.241486
202.45436,201,25.241508
240.59218,201,25.241529
176.48265,201,25.24155
220.57022,201,25.241572
223.6094,201,25.241593
207.38005,201,25.241614
210.08241,201,25.736132
212.3354,201,25.736215
231.90976,201,25.736249
174.76819,201,25.736276
241.83206,201,25.7363
180.1965,201,25.736323
207.117,201,25.736346
230.5657,201,25.736368
177.02673,201,25.73639
223.62923,201,25.736412
177.10776,201,25.736434
221.71404,201,25.736455
241.11766,201,26.239374
208.74452,201,26.239456
226.5017,201,26.239489
217.36697,201,26.239515
210.98874,201,26.239539
179.09505,201,26.239563
241.10223,201,26.239585
221.46313,201,26.239607
205.95682,201,26.239629
235.52917,201,26.239651
229.46837,201,26.239673
221.55388,201,26.239694
232.05156,201,26.737341
218.02728,201,26.737424
226.55414,201,26.737458
221.7712,201,26.737483
175.46642,201,26.737506
201.08017,201,26.737529
178.23448,201,26.737552
223.8129,201,26.737574
211.57072,201,26.737596
228.47665,201,26.737618
201.95752,201,26.73764
177.77612,201,26.737662
213.9697,201,27.242823
239.0549,201,27.242903
215.92755,201,27.242937
225.25162,201,27.242963
178.82883,201,27.242987
222.06944,201,27.24301
207.54619,201,27.243033
230.36111,201,27.24306
227.44238,201,27.243085
216.19798,201,27.243107
214.177,201,27.243128
218.01566,201,27.24315
176.1587,201,27.73725
221.90979,201,27.737333
199.0326,201,27.737366
176.40245,201,27.737392
216.64012,201,27.737416
224.39934,201,27.737439
228.44331,201,27.737461
216.85559,201,27.737484
176.95184,201,27.737506
176.7212,201,27.737528
232.82683,201,27.737549
224.4108,201,27.737571
224.59064,201,28.236904
215.30237,201,28.236987
207.2481,201,28.23702
223.25241,201,28.237045
212.48834,201,28.237068
210.23764,201,28.237091
222.1124,201,28.237113
174.92165,201,28.237143
241.19067,201,28.237167
240.23888,201,28.23719
216.11536,201,28.237211
213.5832,201,28.237233
222.57271,201,28.728985
178.1727,201,28.729066
173.90247,201,28.7291
205.96542,201,28.729125
175.4982,201,28.729149
221.34995,201,28.729172
210.93599,201,28.729194
176.61642,201,28.729216
218.90169,201,28.729238
240.45499,201,28.72926
